#{"t_start": 1783036903.96592, "env_id": "None"}
r,l,t
2.2873976,6,0.702102
1.2908956,11,0.711661
2.5277052,10,0.720448
0.63905716,8,0.726027
0.3490027,5,0.730278
8.838293,30,0.745049
8.432397,26,0.770903
15.221529,44,0.813977
5.4413214,28,0.816526
26.24617,82,0.827822
5.0796223,17,0.853506
4.25636,24,0.853573
32.35433,86,0.863812
3.2964344,9,0.868994
2.6267133,10,0.884668
2.6029642,16,0.889817
14.375183,52,0.899022
5.1643596,11,0.910116
1.0354545,9,0.925109
10.733923,50,0.938385
1.6402545,8,0.938443
1.5688936,11,0.956309
12.140688,45,0.962034
13.8959255,49,0.98062
11.473906,32,0.990521
1.1651092,9,0.995576
10.633524,36,1.016911
9.205915,28,1.037298
7.874497,25,1.056187
12.352813,47,1.07133
18.676628,80,1.090098
2.704308,16,1.097044
12.58417,45,1.108867
15.850746,60,1.15098
5.1833334,40,1.154954
12.158371,42,1.164824
7.871529,24,1.189101
9.104999,22,1.189146
16.037561,59,1.202244
3.8273435,13,1.212007
4.44898,20,1.22441
3.922475,23,1.249638
9.154385,32,1.296511
15.828449,62,1.300312
3.171226,9,1.311826
5.6779523,29,1.357859
8.50041,23,1.393251
37.74683,149,1.455287
24.108315,65,1.491986
40.222946,131,1.503424
7.006646,33,1.505926
3.4972546,12,1.523002
5.4298415,23,1.530939
5.3574066,19,1.561213
2.9070797,18,1.589063
10.594558,25,1.626356
10.044715,36,1.682091
2.4662797,6,1.691893
0.7471833,6,1.701904
3.30191,6,1.712023
7.8486385,23,1.747686
55.122906,206,1.840288
119.45134,436,1.843837
69.42425,239,1.877293
7.2431064,29,1.888465
22.61496,98,1.897914
4.0684533,31,1.935242
1.8736935,10,1.951681
17.145605,56,1.965808
14.196551,52,1.980248
2.4463427,21,1.99881
8.010217,37,2.011524
11.096732,33,2.031517
5.542986,14,2.034088
10.298399,30,2.082153
6.665688,32,2.084969
2.0941868,10,2.099296
13.55942,44,2.151187
3.1719694,14,2.174633
8.058087,51,2.249808
24.69616,102,2.2538
2.0015738,14,2.274199
4.5248666,13,2.294709
77.083664,292,2.303412
1.8786833,6,2.305664
14.215652,54,2.508596
1.4197351,4,2.515464
9.626791,28,2.517999
64.076935,234,2.534776
3.7937827,11,2.534828
4.852123,14,2.538764
-0.09572287,3,2.54133
11.999966,56,2.560616
8.431817,23,2.577641
6.8944025,35,2.616123
18.010202,65,2.637529
4.26805,15,2.659776
23.782236,69,2.684421
1.2161832,6,2.695165
54.088295,177,2.811907
21.89538,82,2.818915
4.046342,9,2.833338
29.283556,130,2.86085
2.050284,5,2.869159
48.587124,166,2.872858
7.340222,28,2.878287
-0.25430828,4,2.885259
2.8758075,15,2.8966
18.336918,54,2.90234
3.5263,15,2.925479
5.393759,26,2.929532
12.886004,46,2.968138
6.666487,34,2.980256
2.6879125,13,2.988548
7.248111,30,3.027955
3.5600991,7,3.039198
0.64497703,5,3.047157
34.001545,128,3.076391
2.268672,8,3.088854
1.8376032,3,3.09411
13.1432295,51,3.191739
10.54233,22,3.228241
45.580708,182,3.23076
3.3958764,10,3.245331
5.956076,13,3.266094
11.11456,41,3.294881
15.372639,52,3.347117
3.5517962,14,3.368349
76.41983,258,3.41285
7.647162,30,3.415383
3.5264883,10,3.43204
20.809782,89,3.436097
6.925392,22,3.450948
4.919687,29,3.480808
2.3509018,12,3.499135
9.630644,36,3.505944
0.8960239,5,3.508393
17.642113,59,3.525089
2.6524787,15,3.530685
6.1443477,19,3.540105
4.10001,17,3.560044
8.802752,24,3.579269
2.0988483,13,3.599515
92.48967,336,3.599565
11.224836,47,3.603423
0.6636725,9,3.617553
8.886684,20,3.649795
16.60442,66,3.6657
22.106304,72,3.711988
18.406559,75,3.717403
14.385327,49,3.725838
2.965745,16,3.752739
23.478785,83,3.837652
34.313335,115,3.839981
0.51397115,1,3.840018
19.532331,68,3.853752
2.701787,18,3.86959
8.266183,20,3.884572
1.076472,8,3.897157
17.066813,64,3.939436
28.80709,111,4.036071
18.236938,70,4.044182
66.0721,219,4.051518
1.5094283,6,4.055816
0.96766496,4,4.059865
10.819404,51,4.275927
39.268677,147,4.281631
4.808571,15,4.30436
6.9670243,22,4.336515
20.970549,96,4.363069
0.6578043,4,4.370746
7.7194734,27,4.379472
21.375977,70,4.385055
2.3106294,4,4.387516
4.2746434,15,4.409703
6.443428,30,4.419391
12.840357,36,4.441528
4.4217405,18,4.448756
9.853059,27,4.454873
54.45541,164,4.474254
6.224524,24,4.486063
4.372171,23,4.491971
3.589093,10,4.494547
11.865797,39,4.522286
4.5614343,22,4.527651
6.7824903,29,4.540583
4.98573,11,4.540632
3.1693525,9,4.555372
1.3227422,14,4.563635
14.060316,55,4.576567
4.8752265,30,4.576623
2.9187524,12,4.58475
3.4710398,15,4.604002
8.559567,30,4.627776
14.511899,54,4.644732
6.6549354,27,4.685905
26.357145,81,4.729002
10.298233,37,4.743217
16.539639,49,4.807773
44.215393,157,4.834905
15.055202,55,4.893698
61.88263,229,4.98259
37.942955,118,5.014455
4.5695167,21,5.017174
2.9747658,14,5.037345
40.40931,109,5.062781
5.4049926,18,5.066941
16.486818,52,5.09907
9.4704895,33,5.116287
8.591092,41,5.133252
13.256653,34,5.154871
7.6227865,25,5.157332
2.2393003,12,5.175043
3.7984488,13,5.194742
12.203635,38,5.217309
3.9807148,26,5.236913
1.3219708,7,5.248186
6.4385376,27,5.288884
3.351956,18,5.317595
6.9332905,30,5.362309
0.95986545,5,5.370713
32.026035,106,5.381595
6.0459285,23,5.406505
6.8635736,16,5.432967
11.999249,42,5.448645
63.59363,211,5.464037
18.039614,40,5.493257
160.31099,493,5.514908
3.0244865,12,5.535026
2.6967897,8,5.547592
26.985662,79,5.58428
21.602509,68,5.598856
34.730515,109,5.616297
4.4735913,13,5.638321
12.840546,41,5.6515
7.7024283,38,5.661666
2.1984322,10,5.677038
6.3737307,35,5.694186
10.631412,34,5.705643
11.177871,27,5.72002
41.646667,127,5.75065
13.756113,46,5.768087
6.15571,16,5.77644
16.563698,53,5.803372
10.750657,37,5.825085
4.045994,14,5.825131
1.5763208,5,5.833575
4.607926,16,5.852091
10.927888,48,5.852157
3.2173343,10,5.868644
5.0751314,26,5.877085
-0.6854531,4,5.884271
7.331839,16,6.06686
38.965286,129,6.070846
16.487543,78,6.130529
13.139841,58,6.156793
19.725405,83,6.19164
7.574539,24,6.194112
4.4138246,9,6.207911
12.910208,51,6.210158
3.9241512,10,6.223954
4.4541306,28,6.252611
38.630222,151,6.260802
22.8766,80,6.38695
4.4116893,11,6.405886
1.8041085,9,6.421776
44.171257,138,6.454611
8.2017565,23,6.46221
10.5372305,28,6.509179
14.14557,48,6.536616
80.740906,253,6.617864
0.14609225,6,6.629395
1.7285318,6,6.640608
0.68368477,6,6.651707
3.717355,8,6.66568
20.008986,91,6.669871
1.2922186,5,6.679766
